bar_start,direction,setup,blocking_gate,blocker_count,snapshots,first_seen,last_seen,engine_version,tick_mode
2026-08-14 09:15:00+05:30,long,long,open_interest,3,150,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long,pullback,3,150,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long,rejection,3,150,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long,trend,4,142,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long,volume,5,8,2026-08-14T09:15:14+05:30,2026-08-14T09:15:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long_vwap,open_interest,2,150,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long_vwap,pullback,4,128,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long_vwap,rejection,2,143,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long_vwap,trend,2,142,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,long,long_vwap,volume,5,8,2026-08-14T09:15:14+05:30,2026-08-14T09:15:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short,open_interest,1,150,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short,pullback,2,74,2026-08-14T09:15:14+05:30,2026-08-14T09:18:58+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short,rejection,4,15,2026-08-14T09:15:14+05:30,2026-08-14T09:15:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short,trend,2,75,2026-08-14T09:15:14+05:30,2026-08-14T09:19:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short,volume,5,8,2026-08-14T09:15:14+05:30,2026-08-14T09:15:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short_vwap,open_interest,1,150,2026-08-14T09:15:14+05:30,2026-08-14T09:20:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short_vwap,pullback,4,30,2026-08-14T09:15:14+05:30,2026-08-14T09:18:58+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short_vwap,rejection,4,30,2026-08-14T09:15:14+05:30,2026-08-14T09:18:58+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short_vwap,trend,2,75,2026-08-14T09:15:14+05:30,2026-08-14T09:19:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:15:00+05:30,short,short_vwap,volume,5,8,2026-08-14T09:15:14+05:30,2026-08-14T09:15:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long,pullback,3,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long,rejection,3,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long,trend,3,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long,volume,4,8,2026-08-14T09:20:14+05:30,2026-08-14T09:20:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long_vwap,pullback,3,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long_vwap,rejection,3,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long_vwap,trend,3,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,long,long_vwap,volume,4,8,2026-08-14T09:20:14+05:30,2026-08-14T09:20:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short,level,3,45,2026-08-14T09:20:44+05:30,2026-08-14T09:22:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short,pullback,1,150,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short,rejection,2,135,2026-08-14T09:20:14+05:30,2026-08-14T09:24:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short,trend,3,30,2026-08-14T09:23:44+05:30,2026-08-14T09:24:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short,volume,3,8,2026-08-14T09:20:14+05:30,2026-08-14T09:20:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short_vwap,level,1,45,2026-08-14T09:20:44+05:30,2026-08-14T09:22:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short_vwap,pullback,1,68,2026-08-14T09:20:14+05:30,2026-08-14T09:22:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short_vwap,rejection,1,52,2026-08-14T09:20:14+05:30,2026-08-14T09:25:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short_vwap,trend,2,30,2026-08-14T09:23:44+05:30,2026-08-14T09:24:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:20:00+05:30,short,short_vwap,volume,3,8,2026-08-14T09:20:14+05:30,2026-08-14T09:20:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long,pullback,3,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long,rejection,3,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long,trend,3,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long,volume,4,15,2026-08-14T09:25:14+05:30,2026-08-14T09:25:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long_vwap,pullback,3,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long_vwap,rejection,3,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long_vwap,trend,3,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,long,long_vwap,volume,4,15,2026-08-14T09:25:14+05:30,2026-08-14T09:25:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short,level,2,30,2026-08-14T09:25:44+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short,pullback,2,150,2026-08-14T09:25:14+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short,rejection,2,69,2026-08-14T09:25:14+05:30,2026-08-14T09:28:58+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short,trend,2,90,2026-08-14T09:26:44+05:30,2026-08-14T09:29:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short,volume,3,15,2026-08-14T09:25:14+05:30,2026-08-14T09:25:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short_vwap,level,1,30,2026-08-14T09:25:44+05:30,2026-08-14T09:30:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short_vwap,pullback,1,45,2026-08-14T09:25:14+05:30,2026-08-14T09:26:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short_vwap,rejection,2,54,2026-08-14T09:25:14+05:30,2026-08-14T09:28:58+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short_vwap,trend,1,90,2026-08-14T09:26:44+05:30,2026-08-14T09:29:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:25:00+05:30,short,short_vwap,volume,3,15,2026-08-14T09:25:14+05:30,2026-08-14T09:25:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long,pullback,2,150,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long,rejection,2,150,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long,trend,3,120,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long,volume,4,8,2026-08-14T09:30:14+05:30,2026-08-14T09:30:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long_vwap,pullback,3,120,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long_vwap,rejection,3,120,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long_vwap,trend,3,120,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,long,long_vwap,volume,4,8,2026-08-14T09:30:14+05:30,2026-08-14T09:30:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short,level,3,15,2026-08-14T09:30:14+05:30,2026-08-14T09:30:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short,pullback,1,150,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short,rejection,2,127,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short,trend,2,75,2026-08-14T09:32:00+05:30,2026-08-14T09:34:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short,volume,4,8,2026-08-14T09:30:14+05:30,2026-08-14T09:30:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short_vwap,level,3,15,2026-08-14T09:30:14+05:30,2026-08-14T09:30:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short_vwap,pullback,1,135,2026-08-14T09:30:14+05:30,2026-08-14T09:34:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short_vwap,rejection,1,96,2026-08-14T09:30:14+05:30,2026-08-14T09:35:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short_vwap,trend,2,75,2026-08-14T09:32:00+05:30,2026-08-14T09:34:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:30:00+05:30,short,short_vwap,volume,4,8,2026-08-14T09:30:14+05:30,2026-08-14T09:30:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long,pullback,2,150,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long,rejection,2,150,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long,trend,3,90,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long,volume,3,90,2026-08-14T09:35:14+05:30,2026-08-14T09:38:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long_vwap,pullback,3,53,2026-08-14T09:35:14+05:30,2026-08-14T09:37:58+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long_vwap,rejection,2,105,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long_vwap,trend,2,90,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,long,long_vwap,volume,1,90,2026-08-14T09:35:14+05:30,2026-08-14T09:38:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short,pullback,2,150,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short,rejection,3,75,2026-08-14T09:35:14+05:30,2026-08-14T09:39:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short,trend,2,120,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short,volume,2,90,2026-08-14T09:35:14+05:30,2026-08-14T09:38:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short_vwap,pullback,3,112,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short_vwap,rejection,3,112,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short_vwap,trend,2,120,2026-08-14T09:35:14+05:30,2026-08-14T09:40:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:35:00+05:30,short,short_vwap,volume,1,90,2026-08-14T09:35:14+05:30,2026-08-14T09:38:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long,level,4,74,2026-08-14T09:40:44+05:30,2026-08-14T09:43:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long,pullback,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long,rejection,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long,trend,4,135,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long,volume,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long_vwap,level,2,74,2026-08-14T09:40:44+05:30,2026-08-14T09:43:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long_vwap,rejection,3,76,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long_vwap,trend,3,135,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,long,long_vwap,volume,2,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short,pullback,4,89,2026-08-14T09:40:14+05:30,2026-08-14T09:43:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short,rejection,3,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short,trend,3,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short,volume,3,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short_vwap,pullback,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short_vwap,rejection,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short_vwap,trend,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:40:00+05:30,short,short_vwap,volume,4,150,2026-08-14T09:40:14+05:30,2026-08-14T09:45:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long,level,3,30,2026-08-14T09:45:44+05:30,2026-08-14T09:46:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long,pullback,3,37,2026-08-14T09:45:14+05:30,2026-08-14T09:46:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long,rejection,3,37,2026-08-14T09:45:14+05:30,2026-08-14T09:46:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long,trend,3,30,2026-08-14T09:45:14+05:30,2026-08-14T09:46:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long,volume,3,38,2026-08-14T09:45:14+05:30,2026-08-14T09:46:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long_vwap,level,1,30,2026-08-14T09:45:44+05:30,2026-08-14T09:46:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long_vwap,rejection,3,15,2026-08-14T09:45:14+05:30,2026-08-14T09:45:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long_vwap,trend,3,30,2026-08-14T09:45:14+05:30,2026-08-14T09:46:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,long,long_vwap,volume,2,38,2026-08-14T09:45:14+05:30,2026-08-14T09:46:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short,pullback,3,128,2026-08-14T09:45:14+05:30,2026-08-14T09:50:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short,rejection,2,150,2026-08-14T09:45:14+05:30,2026-08-14T09:50:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short,trend,2,150,2026-08-14T09:45:14+05:30,2026-08-14T09:50:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short,volume,3,38,2026-08-14T09:45:14+05:30,2026-08-14T09:46:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short_vwap,pullback,3,150,2026-08-14T09:45:14+05:30,2026-08-14T09:50:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short_vwap,rejection,3,150,2026-08-14T09:45:14+05:30,2026-08-14T09:50:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short_vwap,trend,3,150,2026-08-14T09:45:14+05:30,2026-08-14T09:50:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:45:00+05:30,short,short_vwap,volume,4,38,2026-08-14T09:45:14+05:30,2026-08-14T09:46:28+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long,level,4,67,2026-08-14T09:51:44+05:30,2026-08-14T09:54:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long,pullback,1,150,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long,rejection,2,135,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long,trend,3,105,2026-08-14T09:51:44+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long,volume,2,61,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long_vwap,level,4,67,2026-08-14T09:51:44+05:30,2026-08-14T09:54:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long_vwap,pullback,1,150,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long_vwap,rejection,2,135,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long_vwap,trend,3,105,2026-08-14T09:51:44+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,long,long_vwap,volume,2,61,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,short,short,pullback,3,135,2026-08-14T09:50:14+05:30,2026-08-14T09:54:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,short,short,rejection,3,135,2026-08-14T09:50:14+05:30,2026-08-14T09:54:42+05:30,b3620733,ohlc4-distance-from-open-v1
2026-08-14 09:50:00+05:30,short,short,trend,2,150,2026-08-14T09:50:14+05:30,2026-08-14T09:55:12+05:30,b3620733,ohlc4-distance-from-open-v1
