timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,vwap_pullback,vwap_rejection,setup,long_blocked_ema,short_blocked_ema,long_blocked_vwap,short_blocked_vwap,bar_start,current_price,open,high,low,close,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-11T09:20:01.969068+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Above,Below,Above,None,Bearish,,,,,,2026-08-11T09:20:00+05:30,57556.8,57560.0,57560.0,57556.8,57556.8,0.0,5247.0,1.969068,57759.69914808413,57590.9164960182,-48.688699574253405,b3620733
2026-08-11T09:20:03.974204+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Above,Below,Above,Bearish,None,,,,,,2026-08-11T09:20:00+05:30,57588.0,57560.0,57588.0,57556.8,57588.0,90.0,5247.0,3.974204,57765.371875356854,57590.90644868302,-43.052335937893076,b3620733
2026-08-11T09:20:05.975932+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,Unknown,Flat,Above,Below,Above,Bearish,Bearish,,,,,volume,2026-08-11T09:20:00+05:30,57555.4,57560.0,57588.0,57555.4,57555.4,210.0,5247.0,5.975932,57759.444602629585,57590.809963768115,-43.81597230152693,b3620733
2026-08-11T09:20:07.977180+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,Unknown,Rising,Above,Below,Above,Bearish,Bearish,,,,,volume,2026-08-11T09:20:00+05:30,57555.4,57560.0,57588.0,57555.4,57555.4,210.0,5247.0,7.97718,57759.444602629585,57590.809963768115,-48.94324502880045,b3620733
2026-08-11T09:20:19.983415+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Rising,Above,Below,Above,Bearish,None,,,,,,2026-08-11T09:20:00+05:30,57565.8,57560.0,57588.0,57550.0,57565.8,1230.0,5247.0,19.983415,57761.33551172049,57589.98171757415,-47.08869957425486,b3620733
2026-08-11T09:20:21.984771+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,Unknown,Rising,Above,Below,Above,Bearish,Bearish,,,,,volume,2026-08-11T09:20:00+05:30,57550.2,57560.0,57588.0,57550.0,57550.2,1290.0,5247.0,21.984771,57758.49914808413,57589.92895667551,-49.925063210619555,b3620733
2026-08-11T09:20:23.986133+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Rising,Above,Below,Above,Bearish,None,,,,,,2026-08-11T09:20:00+05:30,57575.8,57560.0,57588.0,57550.0,57575.8,1290.0,5247.0,23.986133,57763.153693538676,57589.92895667551,-45.27051775607106,b3620733
2026-08-11T09:20:25.987455+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,Unknown,Rising,Above,Below,Above,Bearish,Bearish,,,,,volume,2026-08-11T09:20:00+05:30,57552.8,57560.0,57588.0,57550.0,57552.8,1320.0,5247.0,25.987455,57758.97187535686,57589.90594212503,-45.234154119702,b3620733
2026-08-11T09:20:31.990774+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Above,Below,Above,Bearish,None,,,,,rejection,2026-08-11T09:20:00+05:30,57560.0,57560.0,57588.0,57550.0,57560.0,2160.0,5247.0,31.990774,57760.28096626595,57589.26016048579,-45.81597230151965,b3620733
2026-08-11T09:20:33.992421+05:30,ENTRY,Short,A+,Bearish,None,Bearish,High,Rising,Above,Below,Above,Bearish,Bearish,vwap,,pullback,,,2026-08-11T09:20:00+05:30,57558.8,57560.0,57588.0,57550.0,57558.8,2460.0,5247.0,33.992421,57760.062784447764,57589.063262227966,-44.14324502879754,b3620733
2026-08-11T09:20:43.999801+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Above,Below,Above,Bearish,None,,,,,rejection,2026-08-11T09:20:00+05:30,57560.0,57560.0,57588.0,57550.0,57560.0,3300.0,5247.0,43.999801,57760.28096626595,57588.58251851852,-49.0523359378858,b3620733
2026-08-11T09:20:48.002141+05:30,ENTRY,Short,A+,Bearish,None,Bearish,High,Rising,Above,Below,Above,Bearish,Bearish,vwap,,pullback,,,2026-08-11T09:20:00+05:30,57550.0,57560.0,57588.0,57550.0,57550.0,3900.0,5247.0,48.002141,57758.462784447765,57588.10850574713,-50.8705177560696,b3620733
2026-08-11T09:21:14.015017+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Above,Below,Above,Bearish,None,,,,,rejection,2026-08-11T09:20:00+05:30,57565.6,57560.0,57588.0,57541.8,57565.6,5460.0,5247.0,74.015017,57761.29914808413,57586.82104837077,1.745454545452958,b3620733
2026-08-11T09:21:26.021270+05:30,ENTRY,Short,A+,Bearish,None,Bearish,High,Rising,Above,Below,Above,Bearish,Bearish,vwap,,pullback,,,2026-08-11T09:20:00+05:30,57550.2,57560.0,57588.0,57541.8,57550.2,5610.0,5247.0,86.02127,57758.49914808413,57586.73866020985,-0.47272727273229975,b3620733
2026-08-11T09:21:28.022770+05:30,WAIT,Neutral,Ignore,Bearish,None,None,High,Rising,Above,Below,Above,Bearish,None,,,,,rejection,2026-08-11T09:20:00+05:30,57565.6,57560.0,57588.0,57541.8,57565.6,5670.0,5247.0,88.02277,57761.29914808413,57586.71309955663,1.890909090914647,b3620733
