timestamp,direction,grade,setup,current_price,seconds_since_last,blocked_by_direction,blocked_by_grade,blocked_by_timestamp,engine_version
2026-08-19T14:24:35.013008,Long,B,ema+vwap,57320.8,120.073,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:37.027515,Long,B,ema+vwap,57320.8,122.087,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:39.028772,Long,B,ema+vwap,57320.8,124.088,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:41.029976,Long,B,ema+vwap,57320.8,126.089,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:43.031191,Long,B,ema+vwap,57320.8,128.091,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:45.032329,Long,B,ema+vwap,57320.8,130.092,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:47.033452,Long,B,ema+vwap,57320.8,132.093,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:49.034553,Long,B,ema+vwap,57320.8,134.094,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:51.035648,Long,B,ema+vwap,57320.8,136.095,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:53.036935,Long,B,ema+vwap,57320.8,138.096,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:55.038269,Long,B,ema+vwap,57320.8,140.098,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:57.039392,Long,B,ema+vwap,57320.8,142.099,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:24:59.040500,Long,B,ema+vwap,57320.8,144.1,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-19T14:25:01.041557,Long,B,ema+vwap,57320.8,146.101,Short,B,2026-08-19T14:22:34.940482,fd8e6f05
2026-08-20T13:46:09.008423,Short,B,vwap,57750.2,254.089,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:11.034004,Short,B,vwap,57750.2,256.115,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:13.035273,Short,B,vwap,57750.2,258.116,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:15.036437,Short,B,vwap,57750.2,260.117,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:17.037491,Short,B,vwap,57750.2,262.118,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:19.038535,Short,B,vwap,57750.2,264.119,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:21.039709,Short,B,vwap,57750.2,266.121,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:23.041036,Short,B,vwap,57750.0,268.122,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:25.042137,Short,B,vwap,57750.0,270.123,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:27.043447,Short,B,vwap,57750.0,272.124,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:29.044549,Short,B,vwap,57750.0,274.125,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:31.045826,Short,B,vwap,57750.0,276.127,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:33.047499,Short,B,vwap,57750.0,278.128,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:35.048670,Short,B,vwap,57750.0,280.129,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:37.049814,Short,B,vwap,57750.0,282.131,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:46:39.051017,Short,B,vwap,57750.0,284.132,Long,A,2026-08-20T13:41:54.919183,fd8e6f05
2026-08-20T13:53:59.202977,Short,B,ema+vwap,57751.0,260.091,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:01.204284,Short,B,ema+vwap,57751.0,262.092,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:03.205853,Short,B,ema+vwap,57751.0,264.094,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:05.207000,Short,B,ema+vwap,57751.0,266.095,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:07.208163,Short,B,ema+vwap,57751.0,268.096,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:09.209315,Short,B,ema+vwap,57751.0,270.097,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:11.210454,Short,B,ema+vwap,57751.0,272.098,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
2026-08-20T13:54:13.211575,Short,B,ema+vwap,57751.0,274.1,Long,B,2026-08-20T13:49:39.111984,fd8e6f05
